File c:\winapps\mbi\logs\EVO_FW2P17_BRD5_15PCS_RESEAT17_DriverMonitor.log Created: 6/24/2019 04:36:58 PM Primary Diag: EVO_FW2p17.s19, N/A, N/A, N/A

LOTID:EVO_FW2P17_BRD5_15PCS_RESEAT17
Device Type: EVO_FW2p17
Entered Lot Qty: 15
Found Qty: 15
System ol03 MBI Burn In Wizard 6.7.8 - 
Device, start Time, Log Time, BIB, Driver, Slot, VDUT1 Cur,VDUT2 Cur,VDUT3 Cur,VDUT4 Cur,VDUT1 Volt,VDUT2 Volt,VDUT3 Volt,VDUT4 Volt,Read DUT data0,Chamber Temp,ReadBIB_temp,VDUT5 Volt,VDUT5 Cur,
Slot 5 NRDs = ,5,10,15,19,20,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:47:29 PM,01180101120005,02170104120083,5,4.1,6,0.2,0,1.72,1.39,3.55,2.77,26,3.27,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:48:42 PM,01180101120005,02170104120083,5,0.2,5.6,0.2,0,1.72,1.44,3.56,2.75,9999,3.27,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:49:52 PM,01180101120005,02170104120083,5,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0200,0200,0001,00AA,0055,0000,DD00,3972,7FE7,AAAA,1937,0400,AA0E,0002,00AA,0055,0000,DD00,278A,7FFF,AAAA,1979,0400,AA2A,0003,00AA,0055,0000,DD00,3263,7E47,AAAA,1B0A,0400,AA0E,0004,00AA,0055,0000,DD00,2BD8,7F83,AAAA,1908,0400,AA0F,0005,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0006,00AA,0055,0000,DD00,3BF0,7AE6,AAAA,1B70,0400,AA0E,0007,00AA,0055,0000,DD00,5B39,7E26,AAAA,17D2,0400,AA0F,0008,00AA,0055,0000,DD00,5038,6EEF,AAAA,1D7A,0400,AA0F,0009,00AA,0055,0000,DD00,4963,7FD5,AAAA,1B7F,0400,AA0F,000A,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,000B,00AA,0055,0000,DD00,3495,7FFA,AAAA,173E,0400,AA0E,000C,00AA,0055,0000,DD00,452B,7F31,AAAA,1BF0,0400,AA0F,000D,00AA,0055,0000,DD00,47AF,7FBD,AAAA,1B7D,0400,AA0F,000E,00AA,0055,0000,DD00,6140,7C81,AAAA,1997,0400,AA0F,000F,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0010,00AA,0055,0000,DD00,4583,7FFF,AAAA,1D04,0400,AA0E,0011,00AA,0055,0000,DD00,6023,7C81,AAAA,1AF2,0400,AA0F,0012,00AA,0055,0000,DD00,4572,7CCC,AAAA,1AF8,0400,AA0F,0013,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0014,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,9999,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,2222,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,CCC1,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,B200,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B211,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B202,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0001,0001,0001,0000,0000,0001,0001,0001,0001,0000,0000,0000,0001,0000,0000,0001,0001,0001,0000,0000,FF2B,600F,852C,CC2B,2E5F,4E4E,88FF,CE4D,63EE,02FC,2A61,7B93,2DD5,9F8E,9DD5,0F30,87C3,F670,C988,5024,00A4,2026,381D,E34C,B8AE,28C6,A9DA,722C,E11C,A915,5EC3,87EA,221C,3695,43DF,D7E3,A1BB,9838,D2AB,4292,76CE,9470,CA2F,6244,31AC,814A,216A,BF3C,6180,E238,0D53,BD47,47D6,6A4E,4BAE,10E3,0F11,134D,6222,C7AB,E491,B897,5287,111F,0895,19AF,B4BE,F52A,D1B0,C0B9,4CAB,DC98,45E8,4853,7F4D,A9D5,34D9,FE32,632E,CBC2,25A3,52C2,8EEB,B1C2,8282,5821,EF49,6EF4,CE4C,9932,DA94,5C0C,1A7A,8020,B544,73CD,5B48,8492,BC0D,D77F,95A6,4202,4E68,AEF4,16AE,E029,18A8,A198,49BC,5A42,EA8E,1515,5603,008A,CC68,CD27,029A,3E82,4AA6,2B14,4594,BB21,70C8,A477,0BF3,5041,9F1C,5A19,310D,1BB9,2F7F,7F08,E68E,2022,88D8,923E,0505,43E1,CFD4,2EDB,C028,A446,8FF3,3092,36B4,0169,BA6C,CFD5,B7AA,8C83,4A98,629B,FF66,63EF,F69B,164B,CF7F,6AE7,CEA0,8280,E57B,7E5F,CECF,6A5D,EFDD,EFF7,1AF0,A8C7,ABE9,F2F3,B353,D6B2,CD7B,25A2,21A1,62DB,EFDB,3977,7F40,33D1,0000,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:49:56 PM,01180101120005,02170104120083,5,2.4,6,0.2,0,1.73,1.41,3.56,2.76,26,3.25,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:50:09 PM,01180101120005,02170104120083,5,4,6.1,0.2,0,1.72,1.39,3.55,2.75,9999,3.25,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:51:22 PM,01180101120005,02170104120083,5,2.4,6.1,0.2,0,1.73,1.41,3.56,2.78,9999,3.26,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:52:36 PM,01180101120005,02170104120083,5,0.3,5.6,0.2,0,1.72,1.44,3.56,2.76,27,3.26,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:53:46 PM,01180101120005,02170104120083,5,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0000,0200,0000,0000,0000,0200,0200,0001,00AA,0055,0000,DD00,3478,7FEB,AAAA,1922,0100,AA0E,0002,00AA,0055,0000,DD00,3390,7FFE,AAAA,1965,0100,AA0F,0003,00AA,0055,0000,DD00,2F1B,7F48,AAAA,1B15,0100,AA0F,0004,00AA,0055,0000,DD00,2E6D,7F46,AAAA,1910,0100,AA0F,0005,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0006,00AA,0055,0000,DD00,3AAA,7915,AAAA,1BA0,0100,AA0F,0007,00AA,0055,0000,DD00,4FB9,7E9F,AAAA,174C,0100,AA0F,0008,00AA,0055,0000,DD00,53C9,6AC9,AAAA,1D9E,0100,AA0F,0009,00AA,0055,0000,DD00,42D6,7FEC,AAAA,1C0A,0100,AA0F,000A,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,000B,00AA,0055,0000,DD00,2D25,7FEC,AAAA,1706,0100,AA0F,000C,00AA,0055,0000,DD00,4739,7FC7,AAAA,1C44,0100,AA0F,000D,00AA,0055,0000,DD00,5358,7EBA,AAAA,1BBB,0100,AA0F,000E,00AA,0055,0000,DD00,58DA,7CBE,AAAA,1964,0100,AA0F,000F,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0010,00AA,0055,0000,DD00,4AEF,7FFF,AAAA,1CD5,0100,AA25,0011,00AA,0055,0000,DD00,5F73,7B96,AAAA,1B41,0100,AA24,0012,00AA,0055,0000,DD00,43B7,7BE1,AAAA,1B2B,0100,AA0F,0013,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,0014,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,FFFF,9999,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,1111,0001,0001,0001,0001,0000,0001,0001,0001,0001,0000,0001,0001,0001,0001,0000,0001,0001,0001,0000,0000,2222,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0001,0001,0001,0001,0000,0001,0001,0001,0001,0000,0001,0001,0001,0001,0000,0001,0001,0001,0000,0000,CCC1,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,ABCD,B200,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B211,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,B202,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,3333,0001,0001,0001,0000,0000,0001,0001,0001,0001,0000,0000,0000,0001,0000,0000,0001,0001,0001,0000,0000,FF2B,600F,852C,CC2B,2E5F,4E4E,88FF,CE4D,63EE,02FC,2A61,7B93,2DD5,9F8E,9DD5,0F30,87C3,F670,C988,5024,00A4,2026,381D,E34C,B8AE,28C6,A9DA,722C,E11C,A915,5EC3,87EA,221C,3695,43DF,D7E3,A1BB,9838,D2AB,4292,76CE,9470,CA2F,6244,31AC,814A,216A,BF3C,6180,E238,0D53,BD47,47D6,6A4E,4BAE,10E3,0F11,134D,6222,C7AB,E491,B897,5287,111F,0895,19AF,B4BE,F52A,D1B0,C0B9,4CAB,DC98,45E8,4853,7F4D,A9D5,34D9,FE32,632E,CBC2,25A3,52C2,8EEB,B1C2,8282,5821,EF49,6EF4,CE4C,9932,DA94,5C0C,1A7A,8020,B544,73CD,5B48,8492,BC0D,D77F,95A6,4202,4E68,AEF4,16AE,E029,18A8,A198,49BC,5A42,EA8E,1515,5603,008A,CC68,CD27,029A,3E82,4AA6,2B14,4594,BB21,70C8,A477,0BF3,5041,9F1C,5A19,310D,1BB9,2F7F,7F08,E68E,2022,88D8,923E,0505,43E1,CFD4,2EDB,C028,A446,8FF3,3092,36B4,0169,BA6C,CFD5,B7AA,8C83,4A98,629B,FF66,63EF,F69B,164B,CF7F,6AE7,CEA0,8280,E57B,7E5F,CECF,6A5D,EFDD,EFF7,1AF0,A8C7,ABE9,F2F3,B353,D6B2,CD7B,25A2,21A1,62DB,EFDB,3977,7F40,33D1,0000,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:53:49 PM,01180101120005,02170104120083,5,4.1,6,0.2,0,1.72,1.39,3.55,2.75,9999,3.25,0.1,
EVO_FW2P17_BRD5_15PCS_RESEAT17,6/24/2019 4:37:24 PM,6/24/2019 4:54:02 PM,01180101120005,02170104120083,5,2.4,6.1,0.2,0,1.73,1.41,3.56,2.78,9999,3.26,0.1,
